0,Female,5481292
3,Female,1
3,Male,1
4,Female,2
5,Female,5
5,Male,5
6,Female,16
6,Male,23
7,Female,55
7,Male,109
8,Female,162
8,Male,341
9,Female,410
9,Male,934
10,Female,1072
10,Male,2383
11,Female,2545
11,Male,5364
12,Female,5320
12,Male,11190
13,Female,9603
13,Male,20186
14,Female,15362
14,Male,33654
15,Female,22877
15,Male,49332
16,Female,30394
16,Male,65414
17,Female,35844
17,Male,76635
18,Female,70897
18,Male,78553
19,Female,84571
19,Male,94525
20,Female,85080
20,Male,94676
21,Female,85562
21,Male,94756
22,Female,85236
22,Male,94576
23,Female,84976
23,Male,94707
24,Female,42420
24,Male,47196
25,Female,42517
25,Male,47553
26,Female,84937
26,Male,94511
27,Female,85131
27,Male,94843
28,Female,85119
28,Male,94658
29,Female,84867
29,Male,94519
30,Female,85496
30,Male,94766
31,Female,85047
31,Male,95063
32,Female,85097
32,Male,94670
33,Female,85120
33,Male,94809
34,Female,42364
34,Male,47125
35,Female,51680
35,Male,57915
36,Female,103999
36,Male,116367
37,Female,103792
37,Male,116232
38,Female,103503
38,Male,115923
39,Female,103683
39,Male,115697
40,Female,103866
40,Male,115571
41,Female,104088
41,Male,115625
42,Female,103436
42,Male,116018
43,Female,104273
43,Male,115278
44,Female,51840
44,Male,58028
45,Female,47489
45,Male,52229
46,Female,94380
46,Male,105095
47,Female,94824
47,Male,105231
48,Female,94383
48,Male,105201
49,Female,94726
49,Male,105529
50,Female,94643
50,Male,105274
51,Female,94827
51,Male,105240
52,Female,95094
52,Male,105380
53,Female,94147
53,Male,104895
54,Female,46938
54,Male,52452
55,Female,33051
55,Male,36738
56,Female,65865
56,Male,73455
57,Female,66117
57,Male,73212
58,Female,66250
58,Male,73452
59,Female,66034
59,Male,73788
60,Female,65922
60,Male,73625
61,Female,65812
61,Male,73811
62,Female,66395
62,Male,73529
63,Female,65988
63,Male,73591
64,Female,32979
64,Male,36443
65,Female,15368
65,Male,17013
66,Female,41496
66,Male,22693
67,Female,41233
67,Male,22218
68,Female,39959
68,Male,22018
69,Female,38052
69,Male,20742
70,Female,37117
70,Male,19831
71,Female,34711
71,Male,18817
72,Female,32598
72,Male,17948
73,Female,30200
73,Male,16423
74,Female,27812
74,Male,15195
75,Female,25435
75,Male,13767
76,Female,22721
76,Male,12431
77,Female,20525
77,Male,11214
78,Female,17917
78,Male,9848
79,Female,15682
79,Male,8504
80,Female,13413
80,Male,7509
81,Female,11555
81,Male,6363
82,Female,9887
82,Male,5367
83,Female,8151
83,Male,4405
84,Female,6782
84,Male,3813
85,Female,5615
85,Male,3038
86,Female,4600
86,Male,2649
87,Female,3812
87,Male,2032
88,Female,2944
88,Male,1662
89,Female,2324
89,Male,1286
90,Female,1860
90,Male,991
91,Female,1440
91,Male,770
92,Female,1103
92,Male,634
93,Female,876
93,Male,451
94,Female,632
94,Male,345
95,Female,491
95,Male,275
96,Female,343
96,Male,181
97,Female,249
97,Male,134
98,Female,180
98,Male,112
99,Female,122
99,Male,72
100,Female,80
100,Male,52
101,Female,78
101,Male,36
102,Female,39
102,Male,24
103,Female,40
103,Male,22
104,Female,24
104,Male,17
105,Female,13
105,Male,11
106,Female,18
106,Male,1
107,Female,4
107,Male,3
108,Female,3
108,Male,3
109,Female,1
111,Female,1
111,Male,2
112,Male,1
113,Female,1
115,Female,1
